player_id,full_name,team_name,team_abbr,position,salary
1630173,Precious Achiuwa,Kings,SAC,Forward,2111516
203500,Steven Adams,Rockets,HOU,Center,14130434
1628389,Bam Adebayo,Heat,MIA,Center-Forward,37096620
1630534,Ochai Agbaji,Raptors,TOR,Guard,6383525
1630583,Santi Aldama,Grizzlies,MEM,Forward-Center,18485916
1641725,Trey Alexander,Pelicans,NOP,Guard,0
1629638,Nickeil Alexander-Walker,Hawks,ATL,Guard,15161800
1628960,Grayson Allen,Suns,PHX,Guard,16875000
1628386,Jarrett Allen,Cavaliers,CLE,Center,20000000
1630631,Jose Alvarado,Pelicans,NOP,Guard,4500000
203937,Kyle Anderson,Jazz,UTA,Forward-Guard,9219512
1630828,Alex Antetokounmpo,Bucks,MIL,Forward,0
203507,Giannis Antetokounmpo,Bucks,MIL,Forward,54126450
203648,Thanasis Antetokounmpo,Bucks,MIL,Forward,2296274
1630175,Cole Anthony,Bucks,MIL,Guard,2296274
1628384,OG Anunoby,Knicks,NYK,Forward-Guard,39568966
1630166,Deni Avdija,Trail Blazers,POR,Forward,14375000
1629028,Deandre Ayton,Lakers,LAL,Center,8104000
1628963,Marvin Bagley III,Wizards,WAS,Forward,2296274
1642846,Ace Bailey,Jazz,UTA,Forward,9069840
1630163,LaMelo Ball,Hornets,CHA,Guard,37958760
1628366,Lonzo Ball,Cavaliers,CLE,Guard,10000000
1631094,Paolo Banchero,Magic,ORL,Forward,15334769
1630217,Desmond Bane,Magic,ORL,Guard,36725670
1631230,Dominick Barlow,76ers,PHI,Forward,0
203084,Harrison Barnes,Spurs,SAS,Forward,19000000
1630567,Scottie Barnes,Raptors,TOR,Forward-Guard,38661750
1642964,Brooks Barnhizer,Thunder,OKC,Guard,0
1629628,RJ Barrett,Raptors,TOR,Forward-Guard,27705357
1642926,Tamar Bates,Nuggets,DEN,Guard,0
1642419,Jamison Battle,Raptors,TOR,Forward,1955377
201587,Nicolas Batum,Clippers,LAC,Guard-Forward,5601600
203078,Bradley Beal,Clippers,LAC,Guard,5354000
1630699,MarJon Beauchamp,76ers,PHI,Guard,0
1642866,Joan Beringer,Timberwolves,MIN,Forward,4201080
1630180,Saddiq Bey,Pelicans,NOP,Guard-Forward,6118644
1629048,Goga Bitadze,Magic,ORL,Center-Forward,8333333
202687,Bismack Biyombo,Spurs,SAS,Center,2296274
1641710,Anthony Black,Magic,ORL,Guard,7970280
203992,Bogdan Bogdanović,Clippers,LAC,Guard,16020000
1641737,Adem Bona,76ers,PHI,Forward,1955377
1626164,Devin Booker,Suns,PHX,Guard,53142264
1628449,Chris Boucher,Celtics,BOS,Forward,2296274
1631123,Jamaree Bouyea,Suns,PHX,Guard,0
1628396,Tony Bradley,Pacers,IND,Center-Forward,2940876
1631103,Malaki Branham,Wizards,WAS,Forward,4962033
1631128,Christian Braun,Nuggets,DEN,Guard,4921797
1642886,Koby Brea,Suns,PHX,Guard,0
1628969,Mikal Bridges,Knicks,NYK,Guard-Forward,24900000
1628970,Miles Bridges,Hornets,CHA,Forward,25000000
1628415,Dillon Brooks,Suns,PHX,Guard-Forward,21124110
1641780,Johni Broome,76ers,PHI,Forward,1272870
1628971,Bruce Brown,Nuggets,DEN,Guard-Forward,2296274
1627759,Jaylen Brown,Celtics,BOS,Guard-Forward,53142264
1641738,Kobe Brown,Clippers,LAC,Forward,2654880
1628973,Jalen Brunson,Knicks,NYK,Guard,34944001
1642868,Carter Bryant,Spurs,SAS,Forward,4900320
1628418,Thomas Bryant,Cavaliers,CLE,Center-Forward,2296274
1641723,Kobe Bufkin,Lakers,LAL,Guard,4503720
202710,Jimmy Butler III,Warriors,GSW,Forward,54126450
1641824,Matas Buzelis,Bulls,CHI,Forward,5455560
1631288,Jamal Cain,Magic,ORL,Forward,0
203484,Kentavious Caldwell-Pope,Grizzlies,MEM,Guard,21621500
1641739,Toumani Camara,Trail Blazers,POR,Forward,2221677
203991,Clint Capela,Rockets,HOU,Center,6700000
