personId,teamName,minutes,threePointersMade,threePointersAttempted,twoPointersMade,twoPointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,IS_WINNER
1626162,76ers,37:16,0,1,1,2,2,2,0,3,0,0,0,1,2,True
202331,76ers,36:04,1,4,6,11,0,0,0,2,5,2,0,1,1,True
203954,76ers,35:55,1,2,12,19,10,13,0,5,8,1,1,2,3,True
1642845,76ers,35:05,1,5,1,2,0,0,2,3,3,3,0,1,1,True
1630178,76ers,40:35,4,9,8,9,12,13,0,4,8,1,0,2,3,True
1631230,76ers,20:48,0,0,1,1,3,3,0,1,0,1,0,0,4,True
1642272,76ers,15:08,0,2,2,2,0,0,0,1,1,0,0,2,1,True
1641737,76ers,8:18,0,0,0,1,0,0,0,2,0,0,2,0,3,True
1642348,76ers,7:05,1,2,0,0,0,0,0,1,0,0,0,0,1,True
203083,76ers,3:47,0,0,0,0,0,0,0,0,0,0,0,0,0,True
201569,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1629656,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
200768,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1631133,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1630570,76ers,,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1642363,Kings,26:57,0,1,1,6,0,0,2,4,2,0,1,2,1,False
1630173,Kings,34:13,0,2,4,5,0,0,4,9,3,1,1,2,3,False
1627734,Kings,28:14,0,1,6,9,2,4,4,3,3,0,0,3,4,False
201942,Kings,37:52,1,1,8,14,6,8,0,4,8,0,0,1,2,False
203471,Kings,31:15,5,9,4,7,4,4,1,3,2,1,0,2,2,False
1642928,Kings,14:24,0,0,0,0,0,0,1,3,0,0,1,2,5,False
203897,Kings,28:41,2,6,3,10,5,5,0,1,3,2,0,3,3,False
1642875,Kings,18:47,0,1,3,3,2,2,3,4,0,1,0,1,5,False
